"";"DRS";"UTI_adulto_1";"UTI_adulto_2";"UTI_adulto_3";"UTI_adulto_4";"UTI_adulto_0";"UTI_adulto_total";"UTI_ped_1";"UTI_ped_2";"UTI_ped_3";"UTI_ped_4";"UTI_ped_total";"data"
"654";"DRS VIII - FRANCA";1;6;2;2;NA;11;NA;NA;NA;NA;NA;2021-05-02
"655";"DRS IX - MARÍLIA";NA;9;9;18;NA;36;NA;NA;NA;NA;NA;2021-05-02
"656";"DRS X - PIRACICABA";1;10;8;1;3;23;NA;NA;NA;NA;NA;2021-05-02
"657";"DRS XI - PRESIDENTE PRUDENTE";NA;3;4;3;NA;10;NA;NA;NA;NA;NA;2021-05-02
"658";"DRS XII - REGISTRO";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2021-05-02
"659";"DRS XIII - RIBEIRÃO PRETO";1;5;2;8;NA;16;NA;NA;NA;NA;NA;2021-05-02
"660";"DRS XIV - SÃO JOÃO DA BOA VISTA";NA;NA;6;1;NA;7;NA;NA;NA;NA;NA;2021-05-02
"661";"DRS XV - SÃO JOSÉ DO RIO PRETO";NA;35;25;1;NA;61;NA;NA;NA;NA;NA;2021-05-02
"662";"DRS XVI - SOROCABA";1;14;11;10;NA;36;NA;NA;NA;NA;NA;2021-05-02
"663";"DRS XVII - TAUBATÉ";NA;20;18;7;NA;45;NA;NA;NA;NA;NA;2021-05-02
"664";"DRS I - GRANDE SÃO PAULO";11;28;10;3;4;56;NA;NA;NA;NA;NA;2021-05-03
"665";"DRS II - ARAÇATUBA";NA;3;4;NA;NA;7;NA;NA;NA;NA;NA;2021-05-03
"666";"DRS III - ARARAQUARA";NA;8;5;4;NA;17;NA;NA;NA;NA;NA;2021-05-03
"667";"DRS IV - BAIXADA SANTISTA";NA;NA;4;NA;NA;4;NA;NA;NA;NA;NA;2021-05-03
"668";"DRS V - BARRETOS";2;8;12;3;NA;25;NA;NA;NA;NA;NA;2021-05-03
"669";"DRS VI - BAURU";NA;3;5;7;NA;15;NA;NA;NA;NA;NA;2021-05-03
"670";"DRS VII - CAMPINAS";6;12;6;2;NA;26;NA;NA;NA;NA;NA;2021-05-03
"671";"DRS VIII - FRANCA";1;9;NA;1;NA;11;NA;NA;NA;NA;NA;2021-05-03
"672";"DRS IX - MARÍLIA";1;14;17;2;NA;34;NA;NA;NA;NA;NA;2021-05-03
"673";"DRS X - PIRACICABA";4;10;6;1;NA;21;NA;NA;NA;NA;NA;2021-05-03
"674";"DRS XI - PRESIDENTE PRUDENTE";NA;5;3;NA;NA;8;NA;NA;NA;NA;NA;2021-05-03
"675";"DRS XII - REGISTRO";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2021-05-03
"676";"DRS XIII - RIBEIRÃO PRETO";NA;7;6;5;NA;18;NA;NA;NA;NA;NA;2021-05-03
"677";"DRS XIV - SÃO JOÃO DA BOA VISTA";NA;NA;8;1;NA;9;NA;NA;NA;NA;NA;2021-05-03
"678";"DRS XV - SÃO JOSÉ DO RIO PRETO";2;31;28;1;NA;62;NA;NA;NA;NA;NA;2021-05-03
"679";"DRS XVI - SOROCABA";4;7;13;9;1;34;NA;NA;NA;NA;NA;2021-05-03
"680";"DRS XVII - TAUBATÉ";1;14;23;4;2;44;NA;NA;NA;NA;NA;2021-05-03
"681";"DRS I - GRANDE SÃO PAULO";14;19;6;4;8;51;NA;NA;NA;NA;NA;2021-05-04
"682";"DRS II - ARAÇATUBA";NA;NA;7;1;NA;8;NA;NA;NA;NA;NA;2021-05-04
"683";"DRS III - ARARAQUARA";1;6;4;4;NA;15;NA;NA;NA;NA;NA;2021-05-04
"684";"DRS IV - BAIXADA SANTISTA";NA;1;2;NA;NA;3;NA;NA;NA;NA;NA;2021-05-04
"685";"DRS V - BARRETOS";1;7;8;9;NA;25;NA;NA;NA;NA;NA;2021-05-04
"686";"DRS VI - BAURU";NA;4;7;3;NA;14;NA;NA;NA;NA;NA;2021-05-04
"687";"DRS VII - CAMPINAS";7;11;2;1;NA;21;NA;NA;NA;NA;NA;2021-05-04
"688";"DRS VIII - FRANCA";1;5;1;NA;NA;7;NA;NA;NA;NA;NA;2021-05-04
"689";"DRS IX - MARÍLIA";1;18;10;1;NA;30;NA;1;NA;NA;1;2021-05-04
"690";"DRS X - PIRACICABA";5;9;4;2;NA;20;NA;NA;NA;NA;NA;2021-05-04
"691";"DRS XI - PRESIDENTE PRUDENTE";NA;2;1;1;NA;4;NA;NA;NA;NA;NA;2021-05-04
"692";"DRS XII - REGISTRO";NA;1;1;NA;NA;2;NA;NA;NA;NA;NA;2021-05-04
"693";"DRS XIII - RIBEIRÃO PRETO";NA;12;6;2;NA;20;NA;NA;NA;NA;NA;2021-05-04
"694";"DRS XIV - SÃO JOÃO DA BOA VISTA";NA;NA;4;1;NA;5;NA;NA;NA;NA;NA;2021-05-04
"695";"DRS XV - SÃO JOSÉ DO RIO PRETO";NA;34;20;2;NA;56;NA;NA;NA;NA;NA;2021-05-04
"696";"DRS XVI - SOROCABA";2;7;11;8;NA;28;NA;NA;NA;NA;NA;2021-05-04
"697";"DRS XVII - TAUBATÉ";NA;13;20;5;4;42;NA;NA;NA;NA;NA;2021-05-04
"698";"DRS I - GRANDE SÃO PAULO";15;35;6;10;4;70;NA;NA;NA;NA;NA;2021-05-05
"699";"DRS II - ARAÇATUBA";1;2;6;NA;NA;9;NA;NA;NA;NA;NA;2021-05-05
"700";"DRS III - ARARAQUARA";NA;10;4;2;NA;16;NA;NA;NA;NA;NA;2021-05-05
"701";"DRS IV - BAIXADA SANTISTA";NA;2;3;NA;NA;5;NA;NA;NA;NA;NA;2021-05-05
"702";"DRS V - BARRETOS";NA;8;12;7;NA;27;NA;NA;NA;NA;NA;2021-05-05
"703";"DRS VI - BAURU";NA;9;6;5;NA;20;NA;NA;NA;NA;NA;2021-05-05
"704";"DRS VII - CAMPINAS";1;7;2;1;NA;11;NA;NA;NA;NA;NA;2021-05-05
"705";"DRS VIII - FRANCA";NA;7;6;NA;NA;13;NA;NA;NA;NA;NA;2021-05-05
"706";"DRS IX - MARÍLIA";1;20;6;2;NA;29;NA;NA;NA;NA;NA;2021-05-05
"707";"DRS X - PIRACICABA";7;8;4;3;1;23;NA;NA;NA;NA;NA;2021-05-05
"708";"DRS XI - PRESIDENTE PRUDENTE";NA;3;NA;NA;1;4;NA;NA;NA;NA;NA;2021-05-05
